timestamp_utc,date_utc,session_id,turn_index,state_before,state_after,pending_action,current_prompt_field,current_item_id,current_item_name,user_text,normalized_text,pred_main_intent,pred_sub_intent,pred_intent,pred_intent_confidence,slot_model_ran,response_key,command_type,command_summary,outcome,notes
2026-03-10T15:52:04.787586+00:00,2026-03-10,cli-bafa6d76-8ef6-4076-b654-2ec0bb13da79,1,idle,waiting_for_side,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,0.9971,1,ask_for_side,,,observed,
2026-03-10T15:52:07.534546+00:00,2026-03-10,cli-bafa6d76-8ef6-4076-b654-2ec0bb13da79,2,waiting_for_side,cancellation_confirmation,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,coke,coke,cart,add_item,add_item,1.0000,1,confirm_cancel_current_item_for_new_request,,,clarification,
2026-03-10T15:52:24.069704+00:00,2026-03-10,cli-bafa6d76-8ef6-4076-b654-2ec0bb13da79,3,cancellation_confirmation,cancellation_confirmation,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,add coke,add coke,cart,add_item,add_item,0.9975,1,confirm_clear_cart,,,observed,
2026-03-10T15:52:26.363302+00:00,2026-03-10,cli-bafa6d76-8ef6-4076-b654-2ec0bb13da79,4,cancellation_confirmation,idle,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,yes,yes,,add_item,confirm,1.0000,0,cart_cleared,CLEAR_CART,item_id=;quantity=;variant_id=;sides={};side_variants={};modifiers={},success_command_emitted,
2026-03-10T16:13:04.154134+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,1,idle,waiting_for_side,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,i want a chiken taco,i want a chiken taco,cart,add_item,add_item,0.9974,1,ask_for_side,,,slots_detected_no_command,
2026-03-10T16:13:07.231431+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,2,waiting_for_side,cancellation_confirmation,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,coke,coke,cart,add_item,add_item,1.0000,1,confirm_cancel_current_item_for_new_request,,,clarification,
2026-03-10T16:13:11.039754+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,3,cancellation_confirmation,idle,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,yes,yes,confirmation,affirm,confirm,1.0000,0,cart_cleared,CLEAR_CART,item_id=;quantity=;variant_id=;sides={};side_variants={};modifiers={},success_command_emitted,
2026-03-10T16:13:18.769164+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,4,idle,idle,,,,,no,no,confirmation,deny,deny,0.9878,0,intent_not_allowed,,,failure,
2026-03-10T16:13:23.421228+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,5,idle,waiting_for_size,add_item,size,23f9fcab-6088-4906-930e-8e627fd46d9d,Coke,add one coke,add one coke,cart,add_item,add_item,0.9969,1,ask_for_size,,,slots_detected_no_command,
2026-03-10T16:13:25.814344+00:00,2026-03-10,cli-4b60d61d-19cb-4ba0-b6dd-5b9f54ee6b65,6,waiting_for_size,cancellation_confirmation,add_item,size,23f9fcab-6088-4906-930e-8e627fd46d9d,Coke,small,small,cart,modify_item,add_item,1.0000,0,confirm_cancel_current_item_for_new_request,,,clarification,
2026-03-10T16:16:46.217016+00:00,2026-03-10,cli-58658c67-3e9c-412f-b8a5-bf54c18621c0,1,idle,waiting_for_side,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,0.9971,1,ask_for_side,,,slots_detected_no_command,
2026-03-10T16:19:02.393258+00:00,2026-03-10,cli-58658c67-3e9c-412f-b8a5-bf54c18621c0,2,waiting_for_side,cancellation_confirmation,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,coke,coke,cart,add_item,add_item,1.0000,1,confirm_cancel_current_item_for_new_request,,,clarification,
2026-03-10T16:44:25.333219+00:00,2026-03-10,cli-58658c67-3e9c-412f-b8a5-bf54c18621c0,3,cancellation_confirmation,cancellation_confirmation,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,,,,,unknown,0.0000,0,confirm_clear_cart,,,observed,
2026-03-10T17:56:21.538045+00:00,2026-03-10,ui-1773165370704,1,idle,waiting_for_side,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,0.9971,1,ask_for_side,,,slots_detected_no_command,
2026-03-10T17:56:34.079218+00:00,2026-03-10,ui-1773165370704,2,waiting_for_side,waiting_for_modifier,add_item,modifier,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,i'll take coke,ill take coke,cart,add_item,unknown,1.0000,1,ask_for_modifier,,,slots_detected_no_command,
2026-03-10T17:56:38.370231+00:00,2026-03-10,ui-1773165370704,3,waiting_for_modifier,waiting_for_modifier,add_item,modifier,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,no,no,confirmation,deny,deny,0.9878,1,ask_for_modifier,,,observed,
2026-03-10T17:56:44.881432+00:00,2026-03-10,ui-1773165370704,4,waiting_for_modifier,waiting_for_modifier,add_item,modifier,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,add cheese,add cheese,cart,add_item,unknown,1.0000,1,repeat_modifier_options,,,reprompt,
2026-03-10T17:56:54.261469+00:00,2026-03-10,ui-1773165370704,5,waiting_for_modifier,waiting_for_modifier,add_item,modifier,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,add cheese,add cheese,cart,add_item,unknown,1.0000,1,repeat_modifier_options,,,reprompt,
2026-03-10T17:56:58.396237+00:00,2026-03-10,ui-1773165370704,6,waiting_for_modifier,idle,add_item,modifier,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,jelly,jelly,cart,add_item,unknown,1.0000,1,item_added_successfully,ADD_ITEM_TO_CART,item_id=e267fa3a-db86-4bf7-8124-c1523ddd6258;quantity=1;variant_id=;sides={'d9dcbebe-7d66-4659-940c-3890678834b5': ['5e57e093-8aab-4e93-acec-5a696fadd73e']};side_variants={};modifiers={'1e0fad0b-4d65-4e2d-a8bf-ad9d20696705': ['fce50f96-e4ad-48ff-914a-cb944402a4f1']},success_command_emitted,
2026-03-10T17:57:06.943246+00:00,2026-03-10,ui-1773165370704,7,idle,idle,,,,,no,no,confirmation,deny,deny,0.9878,0,intent_not_allowed,,,failure,
2026-03-10T17:57:13.951750+00:00,2026-03-10,ui-1773165370704,8,idle,idle,,,,,that's all,thats all,order,finish_order,finish_order,0.9402,0,intent_not_allowed,,,failure,
2026-03-10T17:57:19.925023+00:00,2026-03-10,ui-1773165370704,9,idle,idle,,,,,i would like to pay,i would like to pay,payment,payment_request,payment_request,0.8253,0,intent_not_allowed,,,failure,
2026-03-10T18:40:42.118961+00:00,2026-03-10,ui-1773168032768,1,idle,error_recovery,add_item,,f915405d-7ae7-4ff7-95ab-9638684863cd,Chicken Burger,i want a chicken burger,i want a chicken burger,cart,add_item,add_item,0.9969,1,item_context_missing,,,failure,
2026-03-10T18:40:49.323518+00:00,2026-03-10,ui-1773168032768,2,error_recovery,error_recovery,add_item,,f915405d-7ae7-4ff7-95ab-9638684863cd,Chicken Burger,i want a chicken burger,i want a chicken burger,cart,add_item,add_item,0.9969,1,intent_not_allowed,,,failure,
2026-03-10T18:40:55.046929+00:00,2026-03-10,ui-1773168032768,3,error_recovery,error_recovery,add_item,,f915405d-7ae7-4ff7-95ab-9638684863cd,Chicken Burger,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,0.9971,1,intent_not_allowed,,,failure,
2026-03-10T18:41:00.840754+00:00,2026-03-10,ui-1773168032768,4,error_recovery,error_recovery,add_item,,f915405d-7ae7-4ff7-95ab-9638684863cd,Chicken Burger,i want a coke,i want a coke,cart,add_item,add_item,0.9974,1,intent_not_allowed,,,failure,
2026-03-10T18:41:07.693287+00:00,2026-03-10,ui-1773168064169,1,idle,error_recovery,add_item,,23f9fcab-6088-4906-930e-8e627fd46d9d,Coke,i want a coke,i want a coke,cart,add_item,add_item,0.9974,1,item_context_missing,,,failure,
2026-03-11T11:45:14.961842+00:00,2026-03-11,ui-1773229504362,1,idle,waiting_for_side,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,0.9971,1,ask_for_side,,,slots_detected_no_command,
2026-03-11T11:45:18.207253+00:00,2026-03-11,ui-1773229504362,2,waiting_for_side,waiting_for_modifier,add_item,modifier,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,coke,coke,cart,add_item,unknown,1.0000,1,ask_for_modifier,,,slots_detected_no_command,
2026-03-11T12:17:57.786181+00:00,2026-03-11,ui-1773231466982,1,idle,waiting_for_size,add_item,size,23f9fcab-6088-4906-930e-8e627fd46d9d,Coke,i want a coke,i want a coke,cart,add_item,add_item,0.9974,1,ask_for_size,,,slots_detected_no_command,
2026-03-11T12:18:04.574923+00:00,2026-03-11,ui-1773231466982,2,waiting_for_size,idle,add_item,size,23f9fcab-6088-4906-930e-8e627fd46d9d,Coke,i'll take small,ill take small,cart,add_item,unknown,1.0000,0,item_added_successfully,ADD_ITEM_TO_CART,item_id=23f9fcab-6088-4906-930e-8e627fd46d9d;quantity=1;variant_id=small;sides={};side_variants={};modifiers={},success_command_emitted,
2026-03-11T12:18:16.713003+00:00,2026-03-11,ui-1773231466982,3,idle,waiting_for_side,add_item,side,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,i want a chicken taco,i want a chicken taco,cart,add_item,add_item,0.9971,1,ask_for_side,,,slots_detected_no_command,
2026-03-11T12:18:18.593499+00:00,2026-03-11,ui-1773231466982,4,waiting_for_side,waiting_for_modifier,add_item,modifier,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,coke,coke,cart,add_item,unknown,1.0000,1,ask_for_modifier,,,slots_detected_no_command,
2026-03-11T12:18:20.861873+00:00,2026-03-11,ui-1773231466982,5,waiting_for_modifier,waiting_for_modifier,add_item,modifier,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,no,no,confirmation,deny,deny,0.9878,1,ask_for_modifier,,,observed,
2026-03-11T12:18:23.767454+00:00,2026-03-11,ui-1773231466982,6,waiting_for_modifier,idle,add_item,modifier,e267fa3a-db86-4bf7-8124-c1523ddd6258,Chicken Taco,cheese,cheese,cart,add_item,unknown,1.0000,1,item_added_successfully,ADD_ITEM_TO_CART,item_id=e267fa3a-db86-4bf7-8124-c1523ddd6258;quantity=1;variant_id=;sides={'d9dcbebe-7d66-4659-940c-3890678834b5': ['5e57e093-8aab-4e93-acec-5a696fadd73e']};side_variants={};modifiers={'1e0fad0b-4d65-4e2d-a8bf-ad9d20696705': ['38352951-3cfc-4bed-aa59-bdef96e6edea']},success_command_emitted,
2026-03-11T12:18:27.408512+00:00,2026-03-11,ui-1773231466982,7,idle,idle,,,,,no,no,confirmation,deny,deny,0.9878,0,intent_not_allowed,,,failure,
2026-03-11T12:42:21.075382+00:00,2026-03-11,ui-1773232929118,1,idle,confirming_item,add_item,,,,i want a bacon shakon taco,i want a bacon shakon taco,cart,add_item,add_item,0.9974,1,confirm_item_ambiguous,,,clarification,
2026-03-11T13:07:06.150918+00:00,2026-03-11,ui-1773234415541,1,idle,confirming_item,add_item,,,,i want a bacon shakon taco,i want a bacon shakon taco,cart,add_item,add_item,0.9974,1,confirm_item_ambiguous,,,clarification,
2026-03-11T13:07:10.663763+00:00,2026-03-11,ui-1773234415541,2,confirming_item,cancellation_confirmation,add_item,,,,add chicken,add chicken,cart,add_item,add_item,0.9974,1,confirm_cancel_current_item_for_new_request,,,clarification,
